"Gene","P_Value","Adjusted_P_Value","Significant"
"ENSG00000119862",1.33926879573383e-15,2.70157301475427e-11,TRUE
"ENSG00000055118",7.48540118975315e-12,1.97596046033332e-08,TRUE
"ENSG00000111144",4.18188597644987e-12,1.97596046033332e-08,TRUE
"ENSG00000123992",2.47965954960294e-12,1.97596046033332e-08,TRUE
"ENSG00000141012",7.8073139119531e-12,1.97596046033332e-08,TRUE
"ENSG00000152078",7.83644838522038e-12,1.97596046033332e-08,TRUE
"ENSG00000162444",4.96595485823452e-12,1.97596046033332e-08,TRUE
"ENSG00000166971",4.61694238772081e-12,1.97596046033332e-08,TRUE
"ENSG00000137460",1.9987230952841e-11,4.47980469756344e-08,TRUE
"ENSG00000168461",2.28324389648637e-11,4.6057595879923e-08,TRUE
"ENSG00000229314",3.46582531464187e-11,6.35569347699598e-08,TRUE
"ENSG00000138185",3.90591263527198e-11,6.56583913989221e-08,TRUE
"ENSG00000136026",4.38030240619524e-11,6.79688154905927e-08,TRUE
"ENSG00000115828",8.95910143680604e-11,9.70557029427829e-08,TRUE
"ENSG00000121316",9.30267954438459e-11,9.70557029427829e-08,TRUE
"ENSG00000162747",6.95320955503093e-11,9.70557029427829e-08,TRUE
"ENSG00000170271",8.34802997717878e-11,9.70557029427829e-08,TRUE
"ENSG00000171051",7.69357979376043e-11,9.70557029427829e-08,TRUE
"ENSG00000186431",8.19275726201612e-11,9.70557029427829e-08,TRUE
"ENSG00000197405",9.62281409307782e-11,9.70557029427829e-08,TRUE
"ENSG00000124588",1.22820801921829e-10,1.16334604091985e-07,TRUE
"ENSG00000135776",1.26876922963696e-10,1.16334604091985e-07,TRUE
"ENSG00000141101",1.54994681146426e-10,1.35937074264596e-07,TRUE
"ENSG00000120306",1.69410456989069e-10,1.42389489099312e-07,TRUE
"ENSG00000133048",1.95193099852086e-10,1.57497408408651e-07,TRUE
"ENSG00000079385",2.1159274999095e-10,1.64163421262209e-07,TRUE
"ENSG00000047597",2.49586459289043e-10,1.7980921631352e-07,TRUE
"ENSG00000065618",2.46519222463044e-10,1.7980921631352e-07,TRUE
"ENSG00000114166",2.69900327465594e-10,1.81480980187866e-07,TRUE
"ENSG00000172331",2.64890335625834e-10,1.81480980187866e-07,TRUE
"ENSG00000122359",2.86777863251398e-10,1.86609130887329e-07,TRUE
"ENSG00000049245",3.38983469296362e-10,2.02529799732114e-07,TRUE
"ENSG00000102554",3.41364921222083e-10,2.02529799732114e-07,TRUE
"ENSG00000198734",3.23998578870753e-10,2.02529799732114e-07,TRUE
"ENSG00000196189",3.63282329201684e-10,2.09375175561611e-07,TRUE
"ENSG00000001561",3.76177079357941e-10,2.09874298093158e-07,TRUE
"ENSG00000085063",3.95361061250249e-10,2.09874298093158e-07,TRUE
"ENSG00000133063",3.93589750555815e-10,2.09874298093158e-07,TRUE
"ENSG00000155099",4.16201296811347e-10,2.15272116904577e-07,TRUE
"ENSG00000124120",4.29468390561722e-10,2.16580909360276e-07,TRUE
"ENSG00000070540",6.07077889166886e-10,2.88473332453256e-07,TRUE
"ENSG00000132825",6.14929273026473e-10,2.88473332453256e-07,TRUE
